검수순번,wantedAuthNo,company,라벨,Gemini,GPT,확정,근거
1,1409718,대방건설(주),임금구성_불명확,0,0,0,두 모델 일치
1,1409718,대방건설(주),실근로시간_미기재,1,1,1,두 모델 일치
1,1409718,대방건설(주),수습조건_미기재,0,0,0,두 모델 일치
1,1409718,대방건설(주),숙식공제_불명확,0,0,0,두 모델 일치
1,1409718,대방건설(주),연장야간_조건미기재,0,0,0,두 모델 일치
1,1409718,대방건설(주),사회보험_미기재,1,1,1,두 모델 일치
1,1409718,대방건설(주),임금_미확정,1,0,0,본문에 임금 표현 없음 -> 가이드 0 (임금은 별도 임금항목)
2,K180212607230048,주식회사 상호개발,임금구성_불명확,0,0,0,두 모델 일치
2,K180212607230048,주식회사 상호개발,실근로시간_미기재,0,0,0,두 모델 일치
2,K180212607230048,주식회사 상호개발,수습조건_미기재,0,0,0,두 모델 일치
2,K180212607230048,주식회사 상호개발,숙식공제_불명확,0,0,0,두 모델 일치
2,K180212607230048,주식회사 상호개발,연장야간_조건미기재,1,0,0,가이드 0예시 동일: 당일06:00~익일06:00(휴게 주간4.5/야간6.5) — 시간구조 명확
2,K180212607230048,주식회사 상호개발,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
2,K180212607230048,주식회사 상호개발,임금_미확정,0,0,0,두 모델 일치
3,K130042607150024,(주)지엠네트웍스,임금구성_불명확,0,0,0,두 모델 일치
3,K130042607150024,(주)지엠네트웍스,실근로시간_미기재,0,0,0,두 모델 일치
3,K130042607150024,(주)지엠네트웍스,수습조건_미기재,0,0,0,두 모델 일치
3,K130042607150024,(주)지엠네트웍스,숙식공제_불명확,0,0,0,두 모델 일치
3,K130042607150024,(주)지엠네트웍스,연장야간_조건미기재,0,0,0,두 모델 일치
3,K130042607150024,(주)지엠네트웍스,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
3,K130042607150024,(주)지엠네트웍스,임금_미확정,0,0,0,두 모델 일치
4,K130042607230001,주식회사 현세,임금구성_불명확,0,0,0,두 모델 일치
4,K130042607230001,주식회사 현세,실근로시간_미기재,0,0,0,두 모델 일치
4,K130042607230001,주식회사 현세,수습조건_미기재,0,0,0,두 모델 일치
4,K130042607230001,주식회사 현세,숙식공제_불명확,0,0,0,두 모델 일치
4,K130042607230001,주식회사 현세,연장야간_조건미기재,1,0,0,본문에 연장·야간 언급 없음 -> 가이드 0
4,K130042607230001,주식회사 현세,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
4,K130042607230001,주식회사 현세,임금_미확정,0,0,0,두 모델 일치
5,K130232607200016,（주）태양금속,임금구성_불명확,0,0,0,두 모델 일치
5,K130232607200016,（주）태양금속,실근로시간_미기재,0,0,0,두 모델 일치
5,K130232607200016,（주）태양금속,수습조건_미기재,0,0,0,두 모델 일치
5,K130232607200016,（주）태양금속,숙식공제_불명확,0,0,0,두 모델 일치
5,K130232607200016,（주）태양금속,연장야간_조건미기재,1,0,0,본문에 연장·야간 언급 없음 -> 가이드 0
5,K130232607200016,（주）태양금속,사회보험_미기재,0,0,0,두 모델 일치
5,K130232607200016,（주）태양금속,임금_미확정,0,0,0,두 모델 일치
6,K130112607200038,주식회사 중앙이엠씨,임금구성_불명확,0,0,0,두 모델 일치
6,K130112607200038,주식회사 중앙이엠씨,실근로시간_미기재,0,0,0,두 모델 일치
6,K130112607200038,주식회사 중앙이엠씨,수습조건_미기재,0,0,0,두 모델 일치
6,K130112607200038,주식회사 중앙이엠씨,숙식공제_불명확,0,0,0,두 모델 일치
6,K130112607200038,주식회사 중앙이엠씨,연장야간_조건미기재,0,0,0,두 모델 일치
6,K130112607200038,주식회사 중앙이엠씨,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
6,K130112607200038,주식회사 중앙이엠씨,임금_미확정,1,1,1,두 모델 일치
7,KF11272607230002,하은재가복지센터,임금구성_불명확,0,0,0,두 모델 일치
7,KF11272607230002,하은재가복지센터,실근로시간_미기재,0,0,0,두 모델 일치
7,KF11272607230002,하은재가복지센터,수습조건_미기재,0,0,0,두 모델 일치
7,KF11272607230002,하은재가복지센터,숙식공제_불명확,0,0,0,두 모델 일치
7,KF11272607230002,하은재가복지센터,연장야간_조건미기재,0,0,0,두 모델 일치
