용어,카테고리,출현건수,출현비율,필수보존,오역_시_위험,영어,중국어,베트남어,일본어,스페인어,정규식
우대,모호표현,594,22.3,N,필수 요건인지 선택 사항인지 불분명한 경우가 많다.,preferred,优先,ưu tiên,優遇,preferente,우대
협의,모호표현,289,10.9,N,조건이 고정되어 있지 않다.,negotiable,面议,thương lượng,協議,a negociar,협의\s*가능|협의\s*후|협의
연차,복리후생,270,10.1,N,법정 유급휴가.,annual leave,年假,phép năm,年次有給休暇,vacaciones anuales,연차|월차|유급\s*휴가
휴게시간,근로시간,191,7.2,N,무급이다. 근무시간에 포함되지 않는다.,break time,休息时间,thời gian nghỉ,休憩時間,tiempo de descanso,휴게\s*시간
정규직,고용조건,179,6.7,N,고용 안정성의 기준.,permanent position,正式员工,nhân viên chính thức,正社員,puesto fijo,정규직|상용직
연차수당,임금구성,155,5.8,N,미사용 연차에 대한 금전 보상.,annual leave allowance,年假津贴,tiền phép năm chưa dùng,年休手当,compensación por vacaciones no disfrutadas,연차\s*수당
식대,복리후생,150,5.6,N,현물인지 현금인지에 따라 과세가 다르다.,meal allowance,餐费,phụ cấp ăn,食事手当,subsidio de comida,식대|중식\s*제공|석식\s*제공|점심\s*식사|간식
상여금,임금구성,128,4.8,N,지급 조건과 시기가 불명확한 경우가 많다.,bonus,奖金,tiền thưởng,賞与,bonificación,상여금?|성과급|인센티브
교대근무,근로시간,96,3.6,N,생활 패턴과 수당에 직접 영향.,shift work,轮班,làm việc theo ca,シフト勤務,trabajo por turnos,교대\s*근무|교대제|\d\s*교대
제수당 포함,임금구성,414,15.5,Y,표시된 임금에 각종 수당이 이미 들어있다는 뜻. 기본급은 더 낮다.,allowances included,含各项津贴,đã bao gồm các phụ cấp,各種手当込み,pluses incluidos,제\s*수당\s*포함|수당\s*포함|제세수당
4대보험,복리후생,245,9.2,Y,가입 여부가 산재·실업급여 수급에 직결된다.,four major insurances,四大保险,bốn loại bảo hiểm bắt buộc,四大保険,cuatro seguros obligatorios,4대\s*보험|사대\s*보험|국민연금|고용보험|산재보험|건강보험
소정근로시간,근로시간,234,8.8,Y,월 임금을 시간당으로 환산하는 기준. 이게 틀리면 임금 비교가 무의미해진다.,contractual working hours,约定工作时间,giờ làm việc theo hợp đồng,所定労働時間,jornada pactada,소정\s*근로\s*시간|소정근로
주휴수당,임금구성,211,7.9,Y,주 15시간 이상 근무 시 법정 지급. 시급에 포함인지 별도인지가 핵심.,weekly holiday allowance,周休津贴,phụ cấp ngày nghỉ hằng tuần,週休手当,pago por día de descanso semanal,주휴\s*수당|주휴
퇴직금,복리후생,184,6.9,Y,1년 이상 근무 시 법정 지급.,severance pay,退职金,tiền trợ cấp thôi việc,退職金,indemnización por cese,퇴직금|퇴직\s*연금
수습기간,고용조건,181,6.8,Y,수습 중 임금 감액(최대 10%)이 가능하다. 기간과 감액률 확인 필요.,probation period,试用期,thời gian thử việc,試用期間,periodo de prueba,수습\s*기간|수습
면접 후 결정,모호표현,113,4.2,Y,임금이 확정되지 않았다.,determined after interview,面试后确定,quyết định sau phỏng vấn,面接後に決定,se determina tras la entrevista,면접\s*후|추후\s*결정|추후\s*협의
계약직,고용조건,97,3.6,Y,계약 기간 종료 후 갱신 여부가 불확실하다.,fixed-term contract,合同工,hợp đồng có thời hạn,契約社員,contrato temporal,계약직|기간제|기간의\s*정함
기본급,임금구성,90,3.4,Y,수당을 뺀 순수 급여. 퇴직금·상여 산정의 기준이 된다.,base pay,基本工资,lương cơ bản,基本給,salario base,기본급|기본\s*시급
포괄임금,임금구성,69,2.6,Y,연장·야간수당이 임금에 미리 포함된 방식. 추가 수당을 못 받을 수 있다.,inclusive wage system,包干工资制,chế độ lương khoán gộp,包括賃金制,salario global,포괄임금|포괄\s*시급|포괄\s*연봉
최저임금,임금구성,56,2.1,Y,"2026년 10,320원. 이보다 낮으면 위법이다.",minimum wage,最低工资,lương tối thiểu,最低賃金,salario mínimo,최저\s*임금|최저\s*시급
세전/세후,임금구성,31,1.2,Y,세전 금액을 실수령으로 오해하면 10% 이상 차이가 난다.,before/after tax,税前/税后,trước/sau thuế,税引前/税引後,antes/después de impuestos,세전|세후|실수령
야간근로,근로시간,30,1.1,Y,22시~06시 근무. 가산수당 대상.,night work,夜间工作,làm việc ban đêm,深夜労働,trabajo nocturno,야간\s*근로|야간\s*근무|심야
연장근로,근로시간,29,1.1,Y,법정 가산수당(1.5배) 대상. 포함인지 별도인지 확인 필요.,overtime,延长工作,làm thêm giờ,時間外労働,horas extra,연장\s*근로|시간\s*외\s*근로|초과\s*근무|연장\s*근무
숙식제공,복리후생,14,0.5,Y,제공인지 공제인지가 핵심. 공제면 실수령이 줄어든다.,housing/meals provided,提供食宿,cung cấp ăn ở,食事・寮の提供,alojamiento y comida incluidos,숙식|기숙사|숙소\s*제공
파견/용역,고용조건,13,0.5,Y,실제 사용자와 고용주가 다르다. 책임 소재가 복잡해진다.,dispatched/subcontracted,派遣/外包,phái cử/thuê ngoài,派遣/請負,cesión/subcontrata,파견|용역|도급
회사내규,모호표현,13,0.5,Y,임금이 공개되지 않았다는 뜻. 지원 전 반드시 확인해야 한다.,per company policy,按公司规定,theo quy định nội bộ công ty,社内規定による,según normativa interna,회사\s*내규|내규에\s*따름
