wantedAuthNo,lang,항목,한국어질문,모국어질문,확인이유,위험도,error
1409718,zh,실근로시간_미기재,소정근로시간은 몇 시간입니까?,约定工作时间(소정근로시간)是几小时？,招聘内容里没有写明工作时间，入职前需要先确认。,보통,
1409718,zh,사회보험_미기재,4대보험 가입이 됩니까?,可以加入四大保险(4대보험)吗？,招聘内容里没有写明是否提供社会保险，所以需要提前确认。,높음,
K180212607230048,zh,사회보험_미기재,4대보험 가입이 됩니까?,请问可以加入四大保险(4대보험)吗？,招聘信息里没有写是否提供社会保险，这会影响实际到手工资和保障。,높음,
K180212607230048,zh,기타,입사 시 배치전 특수건강검진 비용은 본인 부담이 맞습니까?,请问入职时岗前特殊健康检查的费用需要本人承担吗？,招聘信息写了费用由本人承担，最好在应聘前再次确认是否需要自己支付。,높음,
K180212607230048,zh,기타,근로계약은 3개월 계약 후에 8개월 추가 계약 여부가 결정됩니까?,请问劳动合同是先签3个月，再决定是否追加8个月合同吗？,招聘信息只写了3个月后可追加8个月，需要确认后续合同是不是之后再决定。,보통,
K130042607150024,zh,사회보험_미기재,사회보험 가입이 가능합니까?,可以加入社会保险吗？,招聘信息里没有写明是否提供社会保险，入职后的实际到手工资和保障范围可能会不同。,높음,
K130042607230001,zh,사회보험_미기재,사회보험 가입이 적용됩니까?,社会保险适用吗？,招聘信息里只写了奖金、补贴和餐费，没有写是否有社会保险。,높음,
K130042607230001,zh,기타,수습 3개월 동안 임금은 최저임금의 90%입니까?,在试用期(수습기간)3个月期间，工资按最低工资(최저임금)的90%发放吗？,招聘信息写了试用3个月和支付最低工资90%，需要先确认试用期间的工资条件。,높음,
K130112607200038,zh,사회보험_미기재,4대보험 가입이 가능합니까?,可以加入四大保险(4대보험)吗？,招聘信息里没有写是否提供社会保险，这会影响实际到手工资和保险待遇。,높음,
K130112607200038,zh,임금_미확정,결정되는 임금은 얼마입니까?,最终确定的工资是多少？,招聘信息只写了工资需要协商后决定，所以需要先确认具体金额。,높음,
KF11272607230002,zh,사회보험_미기재,4대보험에 가입해 주시나요?,请问会为员工缴纳四大保险(4대보험)吗？,招聘信息里没有写是否提供社会保险，所以需要提前确认。,높음,
222179,zh,사회보험_미기재,사회보험이 적용됩니까?,提供社会保险吗？,招聘信息里没有写是否提供社会保险，所以需要先确认。,높음,
222179,zh,임금_미확정,공고에 적힌 '면접 후 결정' 급여는 얼마입니까?,招聘信息里写的面试后决定(면접 후 결정)工资是多少？,招聘信息只写了面试后决定，所以需要先确认具体工资。,높음,
222179,zh,기타,계약직 3개월 후 정규직으로 전환됩니까?,3个月固定期限合同(계약직)后会转为正式员工吗？,招聘信息同时写了正式员工和3个月合同，入职后的雇用方式是否会变化需要先确认。,보통,
KJBI002607290002,zh,사회보험_미기재,4대보험이 적용됩니까?,这份工作适用四大保险吗？,招聘公告中没有写明是否适用四大保险，保险费扣除会影响实际到手工资。,높음,
KJBI002607290002,zh,기타,"채용 시 제 주 소정근로시간, 임금, 근무(예정)지가 공고와 달라질 수 있습니까?",录用后，我的每周约定工作时间(소정근로시간)、工资和工作（预定）地点会与招聘公告不同吗？,公告写明录用后每周约定工作时间、工资或工作地点可能因个人而不同，所以需要先确认自己适用的条件。,높음,
K130042607200074,zh,임금구성_불명확,"시급 13,000원에 포함된 주휴수당 등을 제외한 시급은 얼마입니까?","时薪13,000韩元中，扣除周休津贴(주휴수당)等后，时薪是多少？","招聘信息只写了时薪13,000韩元包含周休津贴等，因此需要确认扣除这些项目后的实际时薪。",높음,
K130042607200074,zh,사회보험_미기재,이 일자리가 사회보험 가입 대상인지 예/아니오로 알려주실 수 있습니까?,这份工作是否属于社会保险参保对象，可以用是或不是告知吗？,招聘信息中没有写社会保险相关内容，所以需要事先确认是否适用。,높음,
